,ratio,index,dataset,time [hrs],rmse,r2
1147,0.3,37.0,Sobol2,1.1818542132112715,28.51053070537821,0.9066899847881061
1148,0.3,38.0,Grid1296,0.0955238159497579,237.3996397637137,-4.558755293241498
1149,0.3,38.0,Grid2401,0.2415356899632348,376.4369212882874,-12.339025746564408
1150,0.3,38.0,Sobol1,1.0511524789863163,20.590514020988813,0.9519843907494348
1151,0.3,38.0,Sobol2,0.967513680656751,25.654517445547036,0.9253141698219597
1152,0.3,39.0,Grid1296,0.18264544420772127,244.6770702958406,-4.862988985938925
1153,0.3,39.0,Grid2401,0.46991620156500075,364.42812094246085,-11.439706911482148
1154,0.3,39.0,Sobol1,2.8927806399928198,20.889032406987937,0.9515811587897249
1155,0.3,39.0,Sobol2,1.8834440853860643,25.121748105040847,0.9261602798651198
1156,0.3,40.0,Grid1296,0.0768629186683231,227.62145494011148,-4.088680116722639
1157,0.3,40.0,Grid2401,0.23266587131553226,411.7296860065586,-14.962837652644087
1158,0.3,40.0,Sobol1,0.8221830036905077,22.35393962920369,0.9437972838081033
1159,0.3,40.0,Sobol2,0.7945746652947532,105.74458540767755,-0.26944179072610797
1160,0.3,41.0,Grid1296,0.1597380616929796,238.24485475681817,-4.6019327463297754
1161,0.3,41.0,Grid2401,0.42543949451711444,453.920549388215,-18.613710300236775
1162,0.3,41.0,Sobol1,2.2378076732158663,22.01536980996363,0.9464679374771104
1163,0.3,41.0,Sobol2,1.6302981240881813,172.3319587397817,-2.3997367049705516
1164,0.3,42.0,Grid1296,0.15723808315065171,219.9529211948004,-3.7290825408387978
1165,0.3,42.0,Grid2401,0.2680352065960566,373.0165831118662,-12.090403488162666
1166,0.3,42.0,Sobol1,1.7824114888244205,23.225325195137277,0.9394494286503754
1167,0.3,42.0,Sobol2,1.5122334296173519,20.015386131979337,0.9546610975888558
1168,0.3,43.0,Grid1296,0.055087313188446896,244.56999608884945,-4.879817226288442
1169,0.3,43.0,Grid2401,0.42236366662714214,429.4053326645272,-16.473214310612324
1170,0.3,43.0,Sobol1,0.3764496859576967,21.736929181474117,0.9463477145597411
1171,0.3,43.0,Sobol2,0.4531353971693251,21.053120224605326,0.9496884799595569
1172,0.3,44.0,Grid1296,0.1650755755106608,226.33777597711475,-4.0714952637546755
1173,0.3,44.0,Grid2401,0.43735371927420297,451.72336933410054,-18.25562903106283
1174,0.3,44.0,Sobol1,2.633328954908583,22.650618946873106,0.9428065951343945
1175,0.3,44.0,Sobol2,1.8664235136244032,20.61081541632003,0.9520770081977403
1176,0.3,45.0,Grid1296,0.062799022131496,242.81425245802328,-4.798763915307048
1177,0.3,45.0,Grid2401,0.27912221431732176,460.76971552503613,-18.871529618722704
1178,0.3,45.0,Sobol1,0.72480929421054,22.35955978589027,0.9448383728367963
1179,0.3,45.0,Sobol2,0.7148588958713743,200.06084795664725,-3.476831465175729
